date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2024-04-16,62,76,62,97,44,48,81,1,26520,38940,12420,4590,14670,7260,270,68,1320,16710,2024-04-16T06:30:00.000+05:00,2024-04-16T17:19:00.000+05:00,49.59,41,124,0.04,0.12,15.75,87,78,100,60,100,100,800,3024,11237,12060,29580,37740,13140,2220,2460,1260,1.65625,0,83,63,68,88,91,100,100,89,100
2024-04-17,45,43,28,42,76,43,89,1,18090,22086,3996,2160,13260,2670,188,82,690,11130,2024-04-17T06:47:29.000+05:00,2024-04-17T12:55:35.000+05:00,46.71,43,121,-0.36,-0.01,15.25,79,62,100,43,96,99,349,2652,6871,4618,39480,22380,17640,1800,0,5100,1.46875,0,74,41,55,68,85,93,100,89,80
2024-04-18,60,52,49,88,90,65,89,1,20280,23100,2820,3720,11070,5490,237,88,690,11580,2024-04-18T06:50:33.000+05:00,2024-04-18T13:15:33.000+05:00,45.86,43,153,-0.21,-0.03,15.5,84,63,95,60,100,100,919,3214,13993,14282,41520,23100,14580,3660,2280,1260,1.78125,1,82,60,61,88,97,98,100,90,88
2024-04-19,53,60,38,76,41,52,86,1,22440,33720,11280,2850,14820,4770,178,67,1200,14190,2024-04-19T06:44:00.000+05:00,2024-04-19T16:06:00.000+05:00,49.87,43,131,-0.1,-0.05,15.5,85,69,100,60,100,100,426,2698,9252,6373,33960,32460,16860,3120,0,0,1.5,0,76,51,59,52,82,100,100,87,100
2024-04-20,58,53,57,96,79,64,70,1,20670,24831,4161,4260,9900,6510,224,83,240,11490,2024-04-20T06:20:03.000+05:00,2024-04-20T13:13:54.000+05:00,45.06,41,125,-0.26,-0.25,15.25,86,80,95,60,100,100,1035,3306,17534,17567,32880,27180,19080,4920,1920,420,1.84375,1,81,58,55,95,95,96,100,88,92
2024-04-21,59,57,64,95,79,47,75,6,13530,15099,1569,4080,4590,4860,140,90,360,7530,2024-04-21T12:52:59.000+04:00,2024-04-21T17:04:38.000+04:00,61.51,54,83,0.13,-0.01,16.625,87,68,78,78,100,100,407,2610,8809,6515,38220,31980,13140,3060,0,0,1.4375,2,58,59,57,59,75,95,17,78,58
2024-04-22,51,46,7,97,62,54,89,1,17910,22808,4898,540,10470,6900,138,79,690,11370,2024-04-22T08:43:32.000+04:00,2024-04-22T15:03:40.000+04:00,58.2,50,113,0.39,0.1,16.75,93,63,100,95,100,100,748,3015,12288,11381,40260,24720,12240,3360,1920,3900,1.6875,0,59,49,53,90,91,73,49,86,14
2024-04-23,49,37,32,56,83,74,78,1,16380,19161,2781,2370,10470,3540,127,85,450,9240,2024-04-23T07:45:31.000+04:00,2024-04-23T13:04:52.000+04:00,43.06,40,141,-0.34,-0.16,15.125,92,56,100,95,100,100,538,2828,9845,7754,44700,20160,17100,2220,1020,1200,1.59375,0,68,46,44,61,75,94,96,80,73
2024-04-24,56,53,33,69,90,72,75,1,20670,23400,2730,2520,13800,4350,187,88,390,11400,2024-04-24T06:36:58.000+04:00,2024-04-24T13:06:58.000+04:00,46.61,43,144,-0.26,0.08,15.25,93,56,100,100,100,100,686,2993,10361,9802,43920,24180,14640,1740,1920,0,1.65625,0,73,55,45,72,82,96,100,76,96
2024-04-25,48,47,42,77,32,45,97,1,19020,30180,11160,3150,11040,4830,146,63,840,11220,2024-04-25T07:56:02.000+04:00,2024-04-25T16:19:02.000+04:00,51.62,44,134,-0.16,0.07,14.875,91,69,100,95,100,100,444,2753,9335,6120,36180,27660,19560,3000,0,0,1.53125,0,70,45,40,64,78,100,94,77,100
2024-04-26,59,56,37,83,81,69,94,1,21480,25435,3955,2790,13470,5220,205,84,780,12000,2024-04-26T07:23:04.000+04:00,2024-04-26T14:26:59.000+04:00,45.63,43,139,0.07,-0.11,15.25,92,58,95,95,100,100,465,2731,10539,7213,40140,25260,10560,4560,0,5880,1.53125,1,78,59,43,94,83,100,100,83,100
2024-04-27,50,49,39,55,81,55,70,1,19500,23191,3691,2910,13140,3450,112,84,240,10830,2024-04-27T07:42:29.000+04:00,2024-04-27T14:09:00.000+04:00,50.83,46,153,-0.32,-0.21,14.875,95,76,100,95,100,100,836,3052,14984,14370,34500,23340,12780,4980,1440,9360,1.6875,0,71,48,41,81,81,94,79,86,94
2024-04-28,60,62,61,96,55,58,83,1,23010,31695,8685,4560,11610,6840,219,73,570,14190,2024-04-28T08:17:02.000+04:00,2024-04-28T17:05:17.000+04:00,54.68,45,102,0.1,0.03,15.625,88,61,100,78,100,100,364,2656,7943,5224,40080,31680,12180,2460,0,0,1.46875,0,72,60,46,60,76,97,87,78,100
2024-04-29,50,39,39,68,79,68,70,1,17040,20631,3591,2940,9780,4320,106,83,1560,10230,2024-04-29T08:33:59.000+04:00,2024-04-29T14:17:50.000+04:00,46.94,41,129,-0.11,-0.03,15.375,81,42,100,60,100,98,319,2655,7010,4153,51000,20760,12420,2220,0,0,1.5,0,75,48,41,91,90,100,100,88,77
2024-04-30,63,53,68,73,96,77,86,1,20550,22511,1961,5100,10860,4590,180,91,600,11370,2024-04-30T08:07:02.000+04:00,2024-04-30T14:22:13.000+04:00,48.18,45,128,-0.11,-0.1,15.125,84,60,100,60,100,99,624,2950,12253,9453,42480,22860,16080,4260,720,0,1.65625,0,76,64,48,81,84,100,86,85,90
2024-05-01,68,68,90,68,88,66,97,1,24630,28380,3750,6720,13620,4290,274,87,930,14010,2024-05-01T07:14:01.000+04:00,2024-05-01T15:07:01.000+04:00,48.17,41,132,-0.09,0.02,15.25,82,83,95,43,100,99,591,2760,11525,10459,30180,33360,9360,5220,0,8280,1.53125,1,77,70,49,74,82,100,100,85,76
2024-05-02,52,37,7,78,93,83,83,1,16470,18433,1963,510,11070,4890,139,89,540,9060,2024-05-02T08:38:58.000+04:00,2024-05-02T13:46:11.000+04:00,43.32,39,145,-0.09,-0.05,15.625,75,50,78,43,100,99,515,2842,8172,6703,46860,18600,18780,780,1380,0,1.59375,2,73,50,42,82,85,100,94,86,70
2024-05-03,59,69,52,93,46,52,81,1,24900,36005,11105,3870,15240,5790,225,69,1290,15840,2024-05-03T07:57:03.000+04:00,2024-05-03T17:57:08.000+04:00,54.24,44,102,0.39,0.13,16.0,76,63,100,43,100,99,426,2667,9130,6799,37080,35880,9600,3840,0,0,1.46875,0,76,59,54,70,90,73,91,77,100
